left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
939400,1952200,939500,1952300,100,82.6716,6.1862,9.44056836,939450,1952250,126.8143537,37.56762719
965700,1957100,965800,1957200,100,19.1176,28.875,6.18726785,965750,1957150,127.1119275,37.61314644
939400,1952300,939500,1952400,100,28.0015,25.7035,9.44056836,939450,1952350,126.8143455,37.56852848
965700,1957200,965800,1957300,100,38.5093,21.9522,6.18726785,965750,1957250,127.1119228,37.61404777
939400,1951600,939500,1951700,100,94.7663,1.8684,9.44056836,939450,1951650,126.8144033,37.56221944
965700,1957300,965800,1957400,100,36.6271,22.6241,6.18726785,965750,1957350,127.1119181,37.6149491
939400,1951700,939500,1951800,100,89.4838,3.7543,9.44056836,939450,1951750,126.814395,37.56312073
965700,1948600,965800,1948700,100,1.5705,35.1393,13.10915194,965750,1948650,127.1123249,37.53653301
939400,1951800,939500,1951900,100,40.5939,21.208,9.44056836,939450,1951850,126.8143868,37.56402202
965700,1956700,965800,1956800,100,4.9224,33.9427,6.18726785,965750,1956750,127.1119462,37.60954113
939400,1951900,939500,1952000,100,48.8954,18.2443,9.44056836,939450,1951950,126.8143785,37.56492331
965700,1947900,965800,1948000,100,50.291,17.7461,13.10915194,965750,1947950,127.1123575,37.53022362
939500,1950800,939600,1950900,100,67.8469,11.4787,9.44056836,939550,1950850,126.8156015,37.55501566
965700,1948000,965800,1948100,100,31.2018,24.561,13.10915194,965750,1948050,127.1123529,37.53112496
939500,1950900,939600,1951000,100,81.4075,6.6375,9.44056836,939550,1950950,126.8155932,37.55591696
965700,1948200,965800,1948300,100,66.7249,11.8792,13.10915194,965750,1948250,127.1123435,37.53292765
965700,1948500,965800,1948600,100,33.6201,23.6976,13.10915194,965750,1948550,127.1123295,37.53563167
965600,1943500,965700,1943600,100,52.6737,16.8955,13.10915194,965650,1943550,127.1114314,37.49056075
939500,1952300,939600,1952400,100,91.3335,3.0939,9.44056836,939550,1952350,126.8154778,37.56853505
939500,1952400,939600,1952500,100,97.9511,0.7315,9.44056836,939550,1952450,126.8154695,37.56943634
939500,1952500,939600,1952600,100,28.8774,25.3908,9.44056836,939550,1952550,126.8154613,37.57033764
939500,1952800,939600,1952900,100,70.1134,10.6695,9.44056836,939550,1952850,126.8154365,37.57304151
939500,1951800,939600,1951900,100,45.6019,19.4201,9.44056836,939550,1951850,126.815519,37.56402859
939500,1952000,939600,1952100,100,91.0635,3.1903,9.44056836,939550,1952050,126.8155025,37.56583118
965600,1946100,965700,1946200,100,90.1133,3.5296,13.10915194,965650,1946150,127.1113099,37.51399574
939500,1952100,939600,1952200,100,70.5354,10.5189,9.44056836,939550,1952150,126.8154943,37.56673247
965600,1946200,965700,1946300,100,39.8721,21.4657,13.10915194,965650,1946250,127.1113052,37.51489708
939500,1952200,939600,1952300,100,84.1888,5.6446,9.44056836,939550,1952250,126.815486,37.56763376
965600,1946500,965700,1946600,100,0.0001,35.7,13.10915194,965650,1946550,127.1112912,37.51760111
939500,1951500,939600,1951600,100,37.9771,22.1422,9.44056836,939550,1951550,126.8155437,37.56132471
965600,1945700,965700,1945800,100,66.1336,12.0903,13.10915194,965650,1945750,127.1113286,37.51039036
939500,1951600,939600,1951700,100,62.3913,13.4263,9.44056836,939550,1951650,126.8155355,37.56222601
965600,1945800,965700,1945900,100,42.7174,20.4499,13.10915194,965650,1945850,127.1113239,37.5112917
